URL,Unique Visitors,Section,Product
/frm/resources/frm-exam-day/?utm_source=google&utm_medium=searchret,3,Resources,FRM
/caia/resources/program-overview/,3,Resources,CAIA
/frm/resources/#group-4,3,Resources,FRM
/blog/,3,Blog,undefined
/blog/cma/page/6/,3,Blog,CMA
/blog/cpa/great-advice-for-recent-grads-part-2/,3,Blog,CPA
/blog/cma/page/3/,3,Blog,CMA
/blog/cma/stuart-newbill-cma-success-story/,3,Blog,CMA
/blog/cia/page/2/,3,Blog,CIA
/blog/cpa/meet-the-professor-dr-ervin-black/,3,Blog,CPA
/blog/cfa/forensic-accounting-webinar/,3,Blog,CFA
/finra/resources/,3,Resources,FINRA
/cpa/resources/webinar-new-cpa-exam-simulation-type/3/,3,Resources,CPA
/blog/cpa/essential-cpa-exam-study-tips/,3,Blog,CPA
